JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Research Analyst - Public Sector,Boston Consulting Group,"New Delhi, Delhi+1 location",NA,8 days ago,"As a Research Analyst within BCG’s Data and Research Service (DRS) function, you will ensure delivery of error-free and insightful research projects within our…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoP8nG612n6SaIo-6cBFZ4ajKscvbmOmjTSQxsFZrL9GCCvt0keq5zWU87ynD5AXBUp0MYmMGDRAaYR4I6K-ClLn5fvlt5gpBTQzcb-UTgJShcKz70hmSJFkayvZt7e4yaClBG9hD1n0Lj2VtXsEE4UvYKe40HAxOwiYuwoq9swg3MfACp6RiAIw5SrcKFvdwZKjV41KjSYw_-FGv-g1IfRszS6GSY7NmW7GUUjV-thz8PjvaofqYzPJgiOf6RSqC0TzdOogIuqmI4T056QY0dkfJhkP9LlEzM4oZSKxRIBAcadHpUfg65Cd75yhCPHfiAu5FvqdEFCC5DleCJKHl-R2U5LxxZa4XUaCJfNOMPnUqNnWeZY0v_BtV-91c5rm7ABuqYsitfFKDiXYFnXHli7OvzJ0wg8M0qxznaPluO49f6nML2_xpc9_sBb1zwyAI-VbnWaZvXdXRwaN-McAR9wKHqrJdZgkyTBqTPnsqDRVtNfTnJjtj98RMd8ERAzLWviI6OVzKR3v3y8zdwonc3ySTUQS_vkiuxHACg9DXhgiep5qhTkxLuVnZSY2EPQ21RVKoI2I8VKqnmOoVXYj4AExMI7IYKKBhyszVZXittmWZ6q8K1yjdR_Ub5J7hzblhyIEVfEPQqpEI4nhBAKcAHBVOxQIIIQ_7TqddY-xKsukEzWUEuKRDyCgp1BKMgQ9i6IQenl3ag92tIH0YOyH3hFwjYoLfvKXa_lpNczj32AwWDODrUm3B0O6E60Vq5uH8Vrl7s6oOEPAYkB7FnhmfC8pr1z7WRVmAq4_oIGG0viD8mgMNqbwJ85qytvP4uNbr2Y1bRTu4UTBimKyT6F-uuRl-kGXkaXUoVelTxLP0AceXcsc7Be5Dwl7V-WeEjtMixZwPDVb8oa0FgELkvXE15GGwCcsP5R1ylO-6rzuIQuTYzQgJ5svu9Yg8qGv1UB58yVjBa24oLYDmImhWWYtcSOA2lX9v-uErIT7-VTNjbrpn0iPQC7mIaw_NhG3rmu46BBh_LNfyhCVKTGSvQ2hs6eQhI3nF8Bt1BJrUt_9fFsWdYjcUB-dGcPZuKq5xaN_3lt9T04z9WWuUgKNmWi2kVtY-5parfsYhN2icSonR0hjGxfHfYmk1bVx3ySaGomGDa8HXB1UMdKA==&xkcb=SoCR-_M3QdztodQNIx0LbzkdCdPP&p=0&fvj=0&vjs=3
Senior Data Analyst,Lotus Interworks Inc,"Mumbai, Maharashtra","₹40,000 - ₹80,000 a month",3 days ago,"Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjxIkUAm65iVK7RcxY5YHJNYrhEaFD2dNZgDNct8duGnX_UDdHrb_eu1j613HFACcgQ6xHLizmdgMiHfM1id1MEH4guormwLDMcSvYb5S1EsECwzlM7wDl6lQJx1eCSlwhUUFlWXuqGlS-tl3I2-m7kejhtboYscXV_WDMDDvsZtgsknybXu_TNAfLrBzSdlZ39JNjk92tIf2vPuwqITO0Qks7nyWMY4C-n8CFVB5XE8QDh6rwLkitJuEHznmpJhSusZOnInyEaQsqSBOsidukW4lpaYCSGW_hjbne8lTCsp8j1c-cKSKJnTWFd--WGCDncxK_U2752SuE84KHxjvxZyXJ7jsJbLXZYAj5-YcgDkKGXy4UijUU5kmMSYV6YGiSx4QtYc6TASqMnvBn6E-vu4TAU8LcOZaHJPjm3Z80zpsiTNs0uDvDBDeITNMNzWe70lPWnYolQELi2oZJrjH01yo447RMRoa0V8YdqBsaGKmBo3WwNlWjoCSt6uVMAVc=&xkcb=SoAl-_M3QdztodQNIx0KbzkdCdPP&p=1&fvj=1&vjs=3
EA-EH-MF-SWISS-Financial Reporting & Analysis -Associate Analyst,Deloitte,"Hyderabad, Telangana",NA,30+ days ago,"Associate Analyst for Swiss Financial Reporting & Analysis - Deloitte Support Services India Private Limited.
Conducting various ad-hoc reporting activities for…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVNkZLBY5brOMPl_aYGto6wx_cQFJUpywuepN10IDfNoQ9OOOLvHimrf78ZjH-eTzjvhHCLnPPN4vlDyHFnDwMt4lMqJB6LPOWI86q82ge5nfWu5NQ00sbLFJyDMAITZpDUOhOUPzOavhbDVsvVOpjFYoq55iG0TKHFgrsqcWf34_6YXtpGPshe1vsvhNNXlku0KY8NROabBXGZ5sdYAeApGbAwnAvlbAJ-Un4QQRkZ5LKrqCurz6FdQ6Q4b42MOjTAEDpiqbwYQctO-fBmnvuaqdt5Eqo9RzMastHvjlbOG32p2zrOWf7-1tJ9kPSILSAMYkBYWAjJ5Hh1F0tHO8xV0J3BWpCi5BfJ5DzDJp1WoVNWT8tPogeVA3WBI0Qu7CpfPTBgrhqvhMX3xS-_JEtQLEWs2q6OME8Zn-zOd9Kyws2xKTjcJPOvsjGl20iyEecYmiuF9UorzOKArI60W9bjmTL-VDVKKtMDBtYlirACIdPOI81mW6qIPpllSpzJ1Qq551DL00XlGpvw62Sb01e0BKTwsTQ18_g3UxdvAqiK9yHLc5ez51mXlyJbUMqrXnDLAGYxaMAo3qt6jLsYilp12TLry7dN5aKg==&xkcb=SoC4-_M3QdztodQNIx0JbzkdCdPP&p=2&fvj=0&vjs=3
"Sr. Analyst 1, Business Transformation",CrowdStrike,"Pune, Maharashtra",NA,30+ days ago,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJMW_X9OCLkZ04_weh8WkR-IGNb1MhigwTP7XGwrJOF0gEgxlmg9MTNWNfyy6JhdWSLXUHB1DM89GpNozQfLG3BRUhn8n48rp0ShnxR1Med4vNijjkbwj3wio52SFsa1J1kSBleFtUUrLOg-W9WJt8rIjRHxoEyhRp1D8dhpqEMkNPmdca6QJh1kR_gW6vIWDYiywpUmqvxFXzIIQvDJvND_CEyf8rL4s7iFGulDJVImx95uPrZk45FSM09FDUfLU8aOA5cX8rwFwfVvqiWLK35iv_HIgW_moxS8le14Iw-ALxiwRPAfrOFWiF8jqhvLdK0l9T72u-nDQAfXejvbOAMwvdv0mwdW7QQSfZhxZ7CCQBkEOXwhZkMz_tGgm8jmpNfC5sihgo33wDKEOTkbTyYvlfIYsFRxr6N4bvbH9Z9xChNlu1bYYve6CaAKEtz6CiSkPkXT_NFD2mZNf3kc4cDMHvFmpBhAl63LZs9odiIZggfVKXxc_DoeQnmvjsfx-6WPPiwinZjY1wVb-ebFRGB8hcW988ZA6FjyHfEVxzDoMHyA8RdiOHAtVWnzBnYuEXwBhMysE6uQMvhBV9HE1iOonB01Ks6zhlKMaQkk7N0YpgeG9hULKsX8mdBnZg6ptpD3mxXzzR6Q==&xkcb=SoAM-_M3QdztodQNIx0IbzkdCdPP&p=3&fvj=0&vjs=3
Data Analyst,Fernstop solutions,"Remote in Mumbai, Maharashtra+1 location","Up to ₹12,28,553 a year",6 days ago,"Developing and maintaining databases, and data systems – reorganizing data in a readable format.
Performing analysis to assess the quality and meaning of data.",https://in.indeed.com/company/FernStop-Solutions/jobs/Data-Analyst-de49bbd94a11f1a5?fccid=45c179b7e176c7d0&vjs=3
Data Analyst,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",NA,8 days ago,"Education: Masters/Bachelors in Computers/Electrical / Electronics or Equivalent engineering –.
Strong programming skills in Python.",https://in.indeed.com/rc/clk?jk=2e7066db830162aa&fccid=9ab138c02aaca829&vjs=3
Big Data & AI Analyst,Vodafone,"Pune, Maharashtra",NA,Today,"Develops data set processes for data modelling, mining and production;
Researches opportunities for data acquisition and new uses for existing data;",https://in.indeed.com/rc/clk?jk=a7a870f5921bd209&fccid=374d720d3973ca1c&vjs=3
Assistant Data Analytics,Venturesathi Business Services LLP,"Raurkela, Orissa","₹3,00,000 - ₹5,00,000 a year",1 day ago,"At least 1-2 years of experience with proven experience in data analytics, data visualization, and data mining.
Job Types: Full-time, Regular / Permanent.",https://in.indeed.com/company/Venturesathi-Business-Services-LLP/jobs/Assistant-Data-Analytics-6d404ad04b12d89d?fccid=c31d5c319f1add5d&vjs=3
Data Analyst,MNR Solutions,"Bengaluru, Karnataka",NA,1 day ago,"5+ years of experience as a data analyst.
Experience in handling databases (SQL), BI tools, and data visualization tools.
Total work: 1 year (Preferred).",https://in.indeed.com/company/MNR-Solutions/jobs/Data-Analyst-01b51660f7dfe85e?fccid=553e818e45409ae8&vjs=3
Data Analyst,Coinfluence,"Remote in Pune, Maharashtra","Up to ₹12,00,000 a year",5 days ago,"A successful data analyst needs to have a combination of technical as well leadership skills.
Proven working experience in data analysis.",https://in.indeed.com/company/Coinfluence/jobs/Data-Analyst-01a1971a07031a13?fccid=3658618975d064e3&vjs=3
