Job Title,Company,Experience Needed,Salary,Vacancy Link
Data Analyst,TVS Srichakra,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-tvs-srichakra-madurai-0-to-2-years-170423002921
Data Analyst,Premium,0-2 Yrs,4-8 Lacs PA,https://www.naukri.com/job-listings-data-analyst-noida-new-delhi-gurgaon-gurugram-0-to-2-years-240423004282
Data Analyst  @ Heritage Nutrivet Limited,Heritage Foods,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-heritage-nutrivet-limited-heritage-foods-jubilee-hills-hyderabad-2-to-7-years-210423605197
Data Analyst,Randstad India,2-7 Yrs,2.5-7 Lacs PA,https://www.naukri.com/job-listings-data-analyst-randstad-india-pune-2-to-7-years-160323007227
Data Analyst,Ascendion Engineering,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ascendion-ahmedabad-3-to-5-years-250423501975
Data Engineer/ Data Analyst,ANZ,1-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-engineer-data-analyst-anz-support-services-india-pvt-ltd-bangalore-bengaluru-1-to-2-years-250423500401
Data Engineer/ Data Analyst,ANZ,1-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-engineer-data-analyst-anz-banking-group-bangalore-bengaluru-1-to-2-years-250423500398
Data Analyst,Bayer,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-bayer-cropscience-ltd-bangalore-bengaluru-2-to-5-years-180423500645
Data Analyst  @ Heritage Nutrivet Limited,Heritage Nutrivet Limited,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-heritage-nutrivet-limited-heritage-nutrivet-limited-jubilee-hills-hyderabad-2-to-7-years-210423005195
Data Analyst,Square Panda,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-square-panda-education-pvt-ltd-mumbai-all-areas-1-to-3-years-190423004766
Data Analyst,Impetus Technologies,4-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-impetus-technologies-noida-indore-hyderabad-secunderabad-bangalore-bengaluru-4-to-9-years-240423004431
Data Analyst - Strategy & Ops,Sprinklr,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-strategy-ops-sprinklr-solutions-pvt-ltd-gurgaon-gurugram-2-to-5-years-250423500709
Data Analyst,Mm Staffing & Career Consultants,0-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-mm-staffing-career-consultants-private-limited-bangalore-bengaluru-0-to-8-years-110423501693
Data Analyst,Clarivate,3-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-clarivate-analytics-bangalore-bengaluru-3-to-4-years-250423500863
Data Analyst,GHX India Pvt LTD,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ghx-india-pvt-ltd-hyderabad-secunderabad-5-to-10-years-220423003427
Data Analyst - NDHM - Delhi,National Institute for Smart Government (NISG),4-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ndhm-delhi-national-institute-for-smart-government-nisg-new-delhi-4-to-9-years-241121006803
Data Analyst,Olangar Solutions Pvt Ltd,0-3 Yrs,1-3 Lacs PA,https://www.naukri.com/job-listings-data-analyst-olangar-solutions-pvt-ltd-bhubaneswar-0-to-3-years-120423008653
Data Analyst,Target,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-target-corporation-india-pvt-ltd-bangalore-bengaluru-2-to-4-years-140423500095
Data Analyst,Standard Chartered Bank,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-standard-chartered-bank-ltd-bangalore-bengaluru-2-to-5-years-210423502832
Data Analyst,IBM,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ibm-india-pvt-limited-bangalore-bengaluru-2-to-4-years-170323909709
Data Analyst,Globals Ites,2-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-globals-ites-bangalore-bengaluru-2-to-3-years-110423006590
Data Analyst  _ 5 Years To 8 Years_ Pune/ Kolkata/ Chennai,Nihilent,5-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-5-years-to-8-years-pune-kolkata-chennai-nihilent-kolkata-pune-chennai-5-to-8-years-210223005011
Data Analyst,Frost & Sullivan,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-frost-sullivan-gurgaon-gurugram-chennai-mumbai-all-areas-2-to-6-years-190423005480
Data Analyst | Aakash Institute | Kerala,Parth Associates,0-3 Yrs,1-4 Lacs PA,https://www.naukri.com/job-listings-data-analyst-aakash-institute-kerala-parth-associates-cannanore-kannur-calicut-kozhikode-ravipuram-0-to-3-years-160423000701
Urgent Opening For Data Analyst | MNC | Bangalore(US Shift),Yellow Box Hr Services,4-9 Yrs,5.5-14 Lacs PA,https://www.naukri.com/job-listings-urgent-opening-for-data-analyst-mnc-bangalore-us-shift-yellow-box-hr-services-bangalore-bengaluru-4-to-9-years-180423009671
Urgent Hiring For Data Analyst For MNC - Bangalore,Yellow Box Hr Services,3-8 Yrs,5-13 Lacs PA,https://www.naukri.com/job-listings-urgent-hiring-for-data-analyst-for-mnc-bangalore-yellow-box-hr-services-bangalore-bengaluru-3-to-8-years-180423009250
Data Analyst,Varite,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-varite-bangalore-bengaluru-4-to-5-years-110423006888
